principal,sem_winsorizacao,winsor_2_5,padronizacao_por_ano,max_samples_64,max_samples_n,arvores_200,COMPANHIA_ANO
0.5049197860962568,0.49652406417112294,0.5029411764705882,0.5248663101604277,0.4946524064171124,0.5136363636363637,0.4949197860962567,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL (2022)
0.942780748663101,0.9590909090909088,0.9679144385026739,0.9344919786096257,0.9430481283422457,0.9454545454545453,0.9433155080213906,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL (2023)
0.5519786096256685,0.5770053475935828,0.47540106951871663,0.5237967914438502,0.506951871657754,0.5633689839572193,0.5406417112299466,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL (2024)
0.9111229946524066,0.8778074866310162,0.9034759358288769,0.9272727272727271,0.9163101604278074,0.9080213903743317,0.909625668449198,CVLB BRASIL S.A EM RECUPERAÇÃO JUDICAL (2025)
0.7924064171122999,0.7930481283422459,0.8454545454545453,0.7850267379679143,0.812566844919786,0.7871657754010694,0.7959893048128344,ENJOEI S.A. (2022)
0.8306951871657752,0.8221925133689838,0.8842245989304814,0.8302139037433156,0.8588235294117647,0.8278074866310161,0.8371657754010696,ENJOEI S.A. (2023)
0.6798930481283422,0.6890374331550803,0.7328877005347593,0.7986631016042781,0.7120320855614973,0.6700534759358289,0.6804812834224598,ENJOEI S.A. (2024)
0.954652406417113,0.9342245989304814,0.9267379679144385,0.9625668449197861,0.9454545454545455,0.9553475935828877,0.9537433155080212,ENJOEI S.A. (2025)
0.3814973262032086,0.370855614973262,0.41069518716577547,0.42647058823529405,0.40668449197860956,0.37326203208556147,0.3700534759358288,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A. (2023)
0.5216042780748663,0.5259358288770054,0.5013368983957219,0.5695187165775402,0.5133689839572193,0.5254010695187168,0.5256684491978609,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A. (2024)
0.7297326203208556,0.718181818181818,0.736096256684492,0.7708556149732622,0.7080213903743318,0.7358288770053475,0.727807486631016,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU S.A. (2025)
0.3452406417112299,0.37299465240641705,0.31016042780748665,0.2518716577540107,0.3251336898395722,0.34893048128342247,0.35962566844919797,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A. (2022)
0.5465240641711232,0.5497326203208558,0.5082887700534761,0.46229946524064164,0.5240641711229947,0.5497326203208556,0.5558823529411764,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A. (2023)
0.1403208556149732,0.14064171122994654,0.12032085561497327,0.13395721925133694,0.13342245989304816,0.14385026737967915,0.12780748663101602,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A. (2024)
0.1872727272727272,0.18128342245989304,0.16711229946524062,0.16524064171122993,0.18342245989304812,0.1978609625668449,0.18128342245989307,PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A. (2025)
0.9802139037433154,0.9839572192513371,0.9828877005347596,0.9775401069518717,0.9802139037433157,0.9812834224598934,0.9807486631016046,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2021)
0.9957219251336892,0.9946524064171124,0.9890374331550797,0.9898395721925131,0.9917112299465238,0.9965240641711229,0.9973262032085561,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2022)
0.96620320855615,0.9550802139037433,0.9457219251336898,0.9577540106951872,0.9652406417112301,0.9679144385026739,0.9652406417112301,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2023)
0.8581818181818184,0.8494652406417114,0.8502673796791443,0.8735294117647061,0.842245989304813,0.8655080213903744,0.8622994652406417,HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A. (2024)
0.427807486631016,0.4286096256684492,0.4141711229946524,0.27941176470588236,0.43368983957219254,0.42219251336898395,0.42807486631016045,ALLIED TECNOLOGIA S.A. (2021)
0.8063101604278075,0.8016042780748662,0.8184491978609625,0.8302139037433154,0.8104278074866311,0.807754010695187,0.8026737967914436,ALLIED TECNOLOGIA S.A. (2022)
0.85668449197861,0.8310160427807487,0.8818181818181818,0.8826203208556149,0.8695187165775401,0.8548128342245989,0.8502673796791445,ALLIED TECNOLOGIA S.A. (2023)
0.597754010695187,0.5989304812834224,0.5625668449197861,0.5946524064171123,0.5957219251336899,0.5965240641711229,0.5831550802139038,ALLIED TECNOLOGIA S.A. (2024)
0.7466310160427808,0.7425133689839573,0.702139037433155,0.7540106951871659,0.7272727272727273,0.741711229946524,0.7307486631016042,ALLIED TECNOLOGIA S.A. (2025)
0.3679144385026738,0.3684491978609625,0.3427807486631016,0.20882352941176469,0.3558823529411765,0.36791443850267386,0.36149732620320857,OUROFINO S.A. (2021)
0.1645989304812834,0.16336898395721924,0.14545454545454548,0.1748663101604278,0.15053475935828878,0.1647058823529412,0.15721925133689843,OUROFINO S.A. (2022)
0.5719786096256683,0.5836898395721926,0.5844919786096257,0.4954545454545455,0.5759358288770053,0.5695187165775402,0.5668449197860964,OUROFINO S.A. (2023)
0.4575401069518717,0.45160427807486625,0.4756684491978608,0.4866310160427808,0.47245989304812835,0.4588235294117646,0.43930481283422457,OUROFINO S.A. (2024)
0.3201069518716578,0.32566844919786103,0.30614973262032086,0.4114973262032085,0.2954545454545454,0.32219251336898397,0.29491978609625663,OUROFINO S.A. (2025)
0.8440641711229949,0.8844919786096256,0.8465240641711231,0.7473262032085561,0.8374331550802138,0.8417112299465244,0.8454545454545455,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL (2021)
0.691229946524064,0.7176470588235294,0.6740641711229947,0.6967914438502674,0.6815508021390375,0.6879679144385025,0.6911764705882353,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL (2022)
0.7083422459893052,0.7205882352941175,0.7566844919786098,0.6518716577540107,0.7267379679144386,0.7090909090909091,0.7173796791443852,AGROGALAXY PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL (2023)
